混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
jy,net/minecraft/src/C_243514_,net/minecraft/core/LayeredRegistryAccess,net/minecraft/core/LayeredRegistryAccess,net/minecraft/registry/CombinedDynamicRegistries,net/minecraft/class_7780
kh$i,net/minecraft/src/C_254591_$C_254575_,net/minecraft/core/RegistrySetBuilder$i,net/minecraft/core/RegistrySetBuilder$RegistryBootstrap,net/minecraft/registry/RegistryBuilder$BootstrapFunction,net/minecraft/class_7877$class_7882
kh$b$1,net/minecraft/src/C_254591_$C_254598_$C_254594_,net/minecraft/core/RegistrySetBuilder$b$1,net/minecraft/core/RegistrySetBuilder$BuildState$1,net/minecraft/registry/RegistryBuilder$Registries$1,net/minecraft/class_7877$class_7878$1
kh$k,net/minecraft/src/C_254591_$C_254597_,net/minecraft/core/RegistrySetBuilder$k,net/minecraft/core/RegistrySetBuilder$RegistryStub,net/minecraft/registry/RegistryBuilder$RegistryInfo,net/minecraft/class_7877$class_7884
kh$n,net/minecraft/src/C_254591_$C_254581_,net/minecraft/core/RegistrySetBuilder$n,net/minecraft/core/RegistrySetBuilder$ValueAndHolder,net/minecraft/registry/RegistryBuilder$EntryAssociatedValue,net/minecraft/class_7877$class_7886
kk$1,net/minecraft/src/C_4710_$C_4711_,net/minecraft/core/SectionPosition$1,net/minecraft/core/SectionPos$1,net/minecraft/util/math/ChunkSectionPos$1,net/minecraft/class_4076$1
jf$2,net/minecraft/src/C_4670_$C_4672_,net/minecraft/core/EnumAxisCycle$2,net/minecraft/core/AxisCycle$2,net/minecraft/util/math/AxisCycleDirection$2,net/minecraft/class_2335$2
kf$c,net/minecraft/src/C_4706_$C_203241_,net/minecraft/core/IRegistryCustom$c,net/minecraft/core/RegistryAccess$ImmutableRegistryAccess,net/minecraft/registry/DynamicRegistryManager$ImmutableImpl,net/minecraft/class_5455$class_6891
jk,net/minecraft/src/C_4685_,net/minecraft/core/CursorPosition,net/minecraft/core/Cursor3D,net/minecraft/util/CuboidBlockIterator,net/minecraft/class_3980
ji$a,net/minecraft/src/C_4675_$C_4681_,net/minecraft/core/BlockPosition$MutableBlockPosition,net/minecraft/core/BlockPos$MutableBlockPos,net/minecraft/util/math/BlockPos$Mutable,net/minecraft/class_2338$class_2339
