owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
djp,tQ,f_220863_,,REINFORCED_DEEPSLATE,REINFORCED_DEEPSLATE,field_38420,field,public static final Block
djp,tR,f_271197_,,DECORATED_POT,DECORATED_POT,field_42752,field,public static final Block
djp,tS,f_303044_,,CRAFTER,CRAFTER,field_46797,field,public static final Block
djp,tT,f_302964_,,TRIAL_SPAWNER,TRIAL_SPAWNER,field_47336,field,public static final Block
djp,tU,f_316985_,,VAULT,VAULT,field_48851,field,public static final Block
djp,tV,f_314894_,,HEAVY_CORE,HEAVY_CORE,field_49830,field,public static final Block
djp,tW,f_349367_,,PALE_MOSS_BLOCK,PALE_MOSS_BLOCK,field_54731,field,public static final Block
djp,tX,f_349077_,,PALE_MOSS_CARPET,PALE_MOSS_CARPET,field_54732,field,public static final Block
djp,tY,f_347198_,,PALE_HANGING_MOSS,PALE_HANGING_MOSS,field_54733,field,public static final Block
djp,tZ,f_370909_,,OPEN_EYEBLOSSOM,OPEN_EYEBLOSSOM,field_55060,field,public static final Block
djp,ua,f_371390_,,CLOSED_EYEBLOSSOM,CLOSED_EYEBLOSSOM,field_55061,field,public static final Block
djp,ub,f_371086_,,POTTED_OPEN_EYEBLOSSOM,POTTED_OPEN_EYEBLOSSOM,field_55062,field,public static final Block
djp,uc,f_371370_,,POTTED_CLOSED_EYEBLOSSOM,POTTED_CLOSED_EYEBLOSSOM,field_55063,field,public static final Block
dtk,a,f_302367_,,CODEC,CODEC,field_46503,field,public static final com.mojang.serialization.MapCodec<WitherRoseBlock>
dnw,a,f_303241_,,CODEC,CODEC,field_46381,field,public static final com.mojang.serialization.MapCodec<LanternBlock>
dnw,b,f_153459_,,HANGING,HANGING,field_16545,field,public static final BooleanProperty
dnw,c,f_153460_,,WATERLOGGED,WATERLOGGED,field_26441,field,public static final BooleanProperty
dnw,d,f_153461_,,AABB,STANDING_SHAPE,field_16546,field,protected static final VoxelShape
dnw,e,f_153462_,,HANGING_AABB,HANGING_SHAPE,field_16544,field,protected static final VoxelShape
dmf,b,f_303592_,,CODEC,CODEC,field_46347,field,public static final com.mojang.serialization.MapCodec<EnderChestBlock>
dmf,c,f_53115_,,FACING,FACING,field_10966,field,public static final EnumProperty<Direction>
dmf,d,f_53116_,,WATERLOGGED,WATERLOGGED,field_10968,field,public static final BooleanProperty
dmf,e,f_53117_,,SHAPE,SHAPE,field_10967,field,protected static final VoxelShape
dmf,f,f_53118_,,CONTAINER_TITLE,CONTAINER_NAME,field_17363,field,private static final Component
dob,a,f_153607_,,SOUND_DISPENSER_DISPENSE,DISPENSER_DISPENSES,field_31140,field,public static final int
dob,b,f_153627_,,SOUND_DISPENSER_FAIL,DISPENSER_FAILS,field_31159,field,public static final int
dob,c,f_153628_,,SOUND_DISPENSER_PROJECTILE_LAUNCH,DISPENSER_LAUNCHES_PROJECTILE,field_31160,field,public static final int
dob,d,f_153630_,,SOUND_FIREWORK_SHOOT,FIREWORK_ROCKET_SHOOTS,field_31162,field,public static final int
dob,e,f_153635_,,SOUND_EXTINGUISH_FIRE,FIRE_EXTINGUISHED,field_31167,field,public static final int
