owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
jf,<init>,,,,,,constructor,(),()V,public
jf,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(FFZZ)V,public
jf,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jf,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jf,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jf,a(),func_149620_c(),,,,,method,a(),()F,float
jf,b(),func_149616_d(),,,,,method,b(),()F,float
jf,c(),func_149618_e(),,,,,method,c(),()Z,boolean
jf,d(),func_149617_f(),,,,,method,d(),()Z,boolean
jg$a,<init>,,,,,,constructor,(),()V,private
jg,<init>,,,,,,constructor,(),()V,public
jg,<init>,,,,,,constructor,(arg0),(Ljg$a;)V,public
jg,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jg,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jg,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jh,<init>,,,,,,constructor,(),()V,public
jh,<init>,,,,,,constructor,(arg0),(I)V,public
jh,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jh,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jh,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jh,a(),func_149614_c(),,,,,method,a(),()I,int
ji,<init>,,,,,,constructor,(),()V,public
ji,<init>,,,,,,constructor,"(arg0, arg1)",(ILafi;)V,public
ji,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
ji,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
ji,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
ji,a(),func_149627_c(),,,,,method,a(),()I,int
ji,b(),func_149625_d(),getItemStack(),,,,method,b(),()Lafi;,ItemStack
jj,<init>,,,,,,constructor,(),()V,public
jj,<init>,,,,,,constructor,"(arg0, arg1)",(Lco;[Lfb;)V,public
jj,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jj,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jj,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
