owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
ua,m(boolean arg0),func_70903_f(boolean arg0),setTamed(boolean arg0),,,,method,m(boolean arg0),(Z)V,void
ua,a(wn arg0),func_70085_c(EntityPlayer arg0),,,,,method,a(wn arg0),(Lwn;)Z,boolean
ua,d(zx arg0),func_70877_b(ItemStack arg0),,,,,method,d(zx arg0),(Lzx;)Z,boolean
ua,bV(),func_70641_bl(),,,,,method,bV(),()I,int
ua,cv(),func_70919_bu(),isAngry(),,,,method,cv(),()Z,boolean
ua,o(boolean arg0),func_70916_h(boolean arg0),setAngry(boolean arg0),,,,method,o(boolean arg0),(Z)V,void
ua,cw(),func_175546_cu(),getCollarColor(),,,,method,cw(),()Lzd;,EnumColor
ua,a(zd arg0),func_175547_a(EnumDyeColor arg0),setCollarColor(EnumColor arg0),,,,method,a(zd arg0),(Lzd;)V,void
ua,b(ph arg0),func_90011_a(EntityAgeable arg0),createChild(EntityAgeable arg0),,,,method,b(ph arg0),(Lph;)Lua;,EntityWolf
ua,p(boolean arg0),func_70918_i(boolean arg0),,,,,method,p(boolean arg0),(Z)V,void
ua,a(tm arg0),func_70878_b(EntityAnimal arg0),mate(EntityAnimal arg0),,,,method,a(tm arg0),(Ltm;)Z,boolean
ua,cx(),func_70922_bv(),,,,,method,cx(),()Z,boolean
ua,C(),func_70692_ba(),isTypeNotPersistent(),,,,method,C(),()Z,boolean
ua,"a(pr arg0, pr arg1)","func_142018_a(EntityLivingBase arg0, EntityLivingBase arg1)",,,,,method,"a(pr arg0, pr arg1)",(Lpr;Lpr;)Z,boolean
ua,cb(),func_110164_bC(),,,,,method,cb(),()Z,boolean
ua,ct(),func_70921_u(),,,,,method,ct(),()Z,boolean
ua,p(float arg0),func_70915_j(float arg0),,,,,method,p(float arg0),(F)F,float
ua,"i(float arg0, float arg1)","func_70923_f(float arg0, float arg1)",,,,,method,"i(float arg0, float arg1)",(FF)F,float
ua,q(float arg0),func_70917_k(float arg0),,,,,method,q(float arg0),(F)F,float
ua,a(byte arg0),func_70103_a(byte arg0),,,,,method,a(byte arg0),(B)V,void
ua,cu(),func_70920_v(),,,,,method,cu(),()F,float
ud,a(),func_82194_d(),,,,,method,a(),()Ladm;,World
ud,"a(ue arg0, ow arg1, float arg2)","func_70965_a(EntityDragonPart arg0, DamageSource arg1, float arg2)",,,,,method,"a(ue arg0, ow arg1, float arg2)",(Lue;Low;F)Z,boolean
ue,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Lud;Ljava/lang/String;FF)V,public
ue,h(),func_70088_a(),,,,,method,h(),()V,void
ue,a(dn arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dn arg0),(Ldn;)V,void
ue,b(dn arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dn arg0),(Ldn;)V,void
ue,ad(),func_70067_L(),,,,,method,ad(),()Z,boolean
ue,"a(ow arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(ow arg0, float arg1)",(Low;F)Z,boolean
ue,k(pk arg0),func_70028_i(Entity arg0),,,,,method,k(pk arg0),(Lpk;)Z,boolean
uf,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
uf,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ladm;DDD)V,public
uf,s_(),func_70041_e_(),,,,,method,s_(),()Z,boolean
uf,h(),func_70088_a(),,,,,method,h(),()V,void
uf,t_(),func_70071_h_(),,,,,method,t_(),()V,void
uf,b(dn arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dn arg0),(Ldn;)V,void
uf,a(dn arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dn arg0),(Ldn;)V,void
uf,ad(),func_70067_L(),,,,,method,ad(),()Z,boolean
uf,"a(ow arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(ow arg0, float arg1)",(Low;F)Z,boolean
ug,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
ug,aX(),func_110147_ax(),initAttributes(),,,,method,aX(),()V,void
ug,h(),func_70088_a(),,,,,method,h(),()V,void
ug,"b(int arg0, float arg1)","func_70974_a(int arg0, float arg1)",,,,,method,"b(int arg0, float arg1)",(IF)[D,double[]
ug,m(),func_70636_d(),,,,,method,m(),()V,void
ug,n(),func_70969_j(),,,,,method,n(),()V,void
ug,a(List<pk> arg0),func_70970_a(List<Entity> arg0),,,,,method,a(List<pk> arg0),(Ljava/util/List;)V,void
ug,b(List<pk> arg0),func_70971_b(List<Entity> arg0),,,,,method,b(List<pk> arg0),(Ljava/util/List;)V,void
ug,cf(),func_70967_k(),,,,,method,cf(),()V,void
ug,b(double arg0),func_70973_b(double arg0),,,,,method,b(double arg0),(D)F,float
ug,b(aug arg0),func_70972_a(AxisAlignedBB arg0),,,,,method,b(aug arg0),(Laug;)Z,boolean
ug,"a(ue arg0, ow arg1, float arg2)","func_70965_a(EntityDragonPart arg0, DamageSource arg1, float arg2)",,,,,method,"a(ue arg0, ow arg1, float arg2)",(Lue;Low;F)Z,boolean
ug,"a(ow arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(ow arg0, float arg1)",(Low;F)Z,boolean
ug,"e(ow arg0, float arg1)","func_82195_e(DamageSource arg0, float arg1)","dealDamage(DamageSource arg0, float arg1)",,,,method,"e(ow arg0, float arg1)",(Low;F)Z,boolean
ug,G(),func_174812_G(),,,,,method,G(),()V,void
ug,aZ(),func_70609_aI(),,,,,method,aZ(),()V,void
ug,a(cj arg0),func_175499_a(BlockPos arg0),,,,,method,a(cj arg0),(Lcj;)V,void
ug,D(),func_70623_bb(),,,,,method,D(),()V,void
ug,aB(),func_70021_al(),,,,,method,aB(),()[Lpk;,Entity[]
ug,ad(),func_70067_L(),,,,,method,ad(),()Z,boolean
ug,a(),func_82194_d(),,,,,method,a(),()Ladm;,World
ug,z(),func_70639_aQ(),,,,,method,z(),()Ljava/lang/String;,String
ug,bo(),func_70621_aR(),,,,,method,bo(),()Ljava/lang/String;,String
ug,bB(),func_70599_aP(),,,,,method,bB(),()F,float
uk$1,<init>,,,,,,constructor,(),()V,
uk$1,a(pk arg0),apply(Entity arg0),,,,,method,a(pk arg0),(Lpk;)Z,boolean
uk,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
uk,h(),func_70088_a(),,,,,method,h(),()V,void
uk,b(dn arg0),func_70014_b(NBTTagCompound arg0),,,,,method,b(dn arg0),(Ldn;)V,void
uk,a(dn arg0),func_70037_a(NBTTagCompound arg0),,,,,method,a(dn arg0),(Ldn;)V,void
uk,z(),func_70639_aQ(),,,,,method,z(),()Ljava/lang/String;,String
uk,bo(),func_70621_aR(),,,,,method,bo(),()Ljava/lang/String;,String
uk,bp(),func_70673_aS(),,,,,method,bp(),()Ljava/lang/String;,String
uk,m(),func_70636_d(),,,,,method,m(),()V,void
uk,E(),func_70619_bc(),,,,,method,E(),()V,void
uk,a(afh arg0),func_181033_a(Block arg0),,,,,method,a(afh arg0),(Lafh;)Z,boolean
uk,n(),func_82206_m(),,,,,method,n(),()V,void
uk,aA(),func_70110_aj(),,,,,method,aA(),()V,void
uk,br(),func_70658_aO(),,,,,method,br(),()I,int
uk,t(int arg0),func_82214_u(int arg0),,,,,method,t(int arg0),(I)D,double
uk,u(int arg0),func_82208_v(int arg0),,,,,method,u(int arg0),(I)D,double
uk,v(int arg0),func_82213_w(int arg0),,,,,method,v(int arg0),(I)D,double
uk,"b(float arg0, float arg1, float arg2)","func_82204_b(float arg0, float arg1, float arg2)",,,,,method,"b(float arg0, float arg1, float arg2)",(FFF)F,float
uk,"a(int arg0, pr arg1)","func_82216_a(int arg0, EntityLivingBase arg1)",,,,,method,"a(int arg0, pr arg1)",(ILpr;)V,void
uk,"a(int arg0, double arg1, double arg2, double arg3, boolean arg4)","func_82209_a(int arg0, double arg1, double arg2, double arg3, boolean arg4)",,,,,method,"a(int arg0, double arg1, double arg2, double arg3, boolean arg4)",(IDDDZ)V,void
uk,"a(pr arg0, float arg1)","func_82196_d(EntityLivingBase arg0, float arg1)",,,,,method,"a(pr arg0, float arg1)",(Lpr;F)V,void
uk,"a(ow arg0, float arg1)","func_70097_a(DamageSource arg0, float arg1)","damageEntity(DamageSource arg0, float arg1)",,,,method,"a(ow arg0, float arg1)",(Low;F)Z,boolean
uk,"b(boolean arg0, int arg1)","func_70628_a(boolean arg0, int arg1)","dropDeathLoot(boolean arg0, int arg1)",,,,method,"b(boolean arg0, int arg1)",(ZI)V,void
uk,D(),func_70623_bb(),,,,,method,D(),()V,void
uk,"e(float arg0, float arg1)","func_180430_e(float arg0, float arg1)",,,,,method,"e(float arg0, float arg1)",(FF)V,void
uk,c(pf arg0),func_70690_d(PotionEffect arg0),addEffect(MobEffect arg0),,,,method,c(pf arg0),(Lpf;)V,void
uk,aX(),func_110147_ax(),initAttributes(),,,,method,aX(),()V,void
uk,cl(),func_82212_n(),,,,,method,cl(),()I,int
uk,r(int arg0),func_82215_s(int arg0),,,,,method,r(int arg0),(I)V,void
uk,s(int arg0),func_82203_t(int arg0),,,,,method,s(int arg0),(I)I,int
uk,"b(int arg0, int arg1)","func_82211_c(int arg0, int arg1)",,,,,method,"b(int arg0, int arg1)",(II)V,void
uk,cm(),func_82205_o(),,,,,method,cm(),()Z,boolean
uk,bz(),func_70668_bt(),getMonsterType(),,,,method,bz(),()Lpw;,EnumMonsterType
uk,a(pk arg0),func_70078_a(Entity arg0),mount(Entity arg0),,,,method,a(pk arg0),(Lpk;)V,void
uk,b(float arg0),func_70070_b(float arg0),,,,,method,b(float arg0),(F)I,int
uk,a(int arg0),func_82207_a(int arg0),,,,,method,a(int arg0),(I)F,float
uk,b(int arg0),func_82210_r(int arg0),,,,,method,b(int arg0),(I)F,float
um,<init>,,,,,,constructor,(arg0),(Ladm;)V,public
um,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(Ladm;DDD)V,public
um,bM(),func_70613_aW(),,,,,method,bM(),()Z,boolean
um,h(),func_70088_a(),,,,,method,h(),()V,void
um,bA(),func_70694_bm(),,,,,method,bA(),()Lzx;,ItemStack
um,p(int arg0),func_71124_b(int arg0),getEquipment(int arg0),,,,method,p(int arg0),(I)Lzx;,ItemStack
um,"c(int arg0, zx arg1)","func_70062_b(int arg0, ItemStack arg1)","setEquipment(int arg0, ItemStack arg1)",,,,method,"c(int arg0, zx arg1)",(ILzx;)V,void
