混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
acw$a,net/minecraft/entity/monster/EntityGhast$AILookAround,net/minecraft/server/v1_12_R1/EntityGhast$PathfinderGoalGhastMoveTowardsTarget,,,
acw$b,net/minecraft/entity/monster/EntityGhast$GhastMoveHelper,net/minecraft/server/v1_12_R1/EntityGhast$ControllerGhast,,,
acw$c,net/minecraft/entity/monster/EntityGhast$AIFireballAttack,net/minecraft/server/v1_12_R1/EntityGhast$PathfinderGoalGhastAttackTarget,,,
acw$d,net/minecraft/entity/monster/EntityGhast$AIRandomFly,net/minecraft/server/v1_12_R1/EntityGhast$PathfinderGoalGhastIdleMove,,,
acw,net/minecraft/entity/monster/EntityGhast,net/minecraft/server/v1_12_R1/EntityGhast,,,
acx,net/minecraft/entity/monster/EntityGiantZombie,net/minecraft/server/v1_12_R1/EntityGiantZombie,,,
acy$a,net/minecraft/entity/monster/EntityGuardian$AIGuardianAttack,net/minecraft/server/v1_12_R1/EntityGuardian$PathfinderGoalGuardianAttack,,,
acy$b,net/minecraft/entity/monster/EntityGuardian$GuardianTargetSelector,net/minecraft/server/v1_12_R1/EntityGuardian$EntitySelectorGuardianTargetHumanSquid,,,
acy$c,net/minecraft/entity/monster/EntityGuardian$GuardianMoveHelper,net/minecraft/server/v1_12_R1/EntityGuardian$ControllerMoveGuardian,,,
acy,net/minecraft/entity/monster/EntityGuardian,net/minecraft/server/v1_12_R1/EntityGuardian,,,
acz,net/minecraft/entity/monster/EntityHusk,net/minecraft/server/v1_12_R1/EntityZombieHusk,,,
ad,net/minecraft/advancements/critereon/DistancePredicate,net/minecraft/server/v1_12_R1/CriterionConditionDistance,,,
ada$a,net/minecraft/entity/monster/EntityIllusionIllager$AIBlindnessSpell,net/minecraft/server/v1_12_R1/EntityIllagerIllusioner$a,,,
ada$b,net/minecraft/entity/monster/EntityIllusionIllager$AIMirriorSpell,net/minecraft/server/v1_12_R1/EntityIllagerIllusioner$b,,,
ada,net/minecraft/entity/monster/EntityIllusionIllager,net/minecraft/server/v1_12_R1/EntityIllagerIllusioner,,,
adb,net/minecraft/entity/monster/EntityMagmaCube,net/minecraft/server/v1_12_R1/EntityMagmaCube,,,
adc,net/minecraft/entity/monster/EntityMob,net/minecraft/server/v1_12_R1/EntityMonster,,,
add$a,net/minecraft/entity/monster/EntityPigZombie$AITargetAggressor,net/minecraft/server/v1_12_R1/EntityPigZombie$PathfinderGoalAnger,,,
add$b,net/minecraft/entity/monster/EntityPigZombie$AIHurtByAggressor,net/minecraft/server/v1_12_R1/EntityPigZombie$PathfinderGoalAngerOther,,,
add,net/minecraft/entity/monster/EntityPigZombie,net/minecraft/server/v1_12_R1/EntityPigZombie,,,
ade,net/minecraft/entity/IRangedAttackMob,net/minecraft/server/v1_12_R1/IRangedEntity,,,
adf,net/minecraft/entity/SharedMonsterAttributes,net/minecraft/server/v1_12_R1/GenericAttributes,,,
adg$a,net/minecraft/entity/monster/EntityShulker$AIAttack,net/minecraft/server/v1_12_R1/EntityShulker$a,,,
adg$b,net/minecraft/entity/monster/EntityShulker$BodyHelper,net/minecraft/server/v1_12_R1/EntityShulker$b,,,
adg$c$1,net/minecraft/entity/monster/EntityShulker$AIDefenseAttack$1,net/minecraft/server/v1_12_R1/EntityShulker$c$1,,,
adg$c,net/minecraft/entity/monster/EntityShulker$AIDefenseAttack,net/minecraft/server/v1_12_R1/EntityShulker$c,,,
adg$d,net/minecraft/entity/monster/EntityShulker$AIAttackNearest,net/minecraft/server/v1_12_R1/EntityShulker$d,,,
adg$e,net/minecraft/entity/monster/EntityShulker$AIPeek,net/minecraft/server/v1_12_R1/EntityShulker$e,,,
adg,net/minecraft/entity/monster/EntityShulker,net/minecraft/server/v1_12_R1/EntityShulker,,,
adh$a,net/minecraft/entity/monster/EntitySilverfish$AIHideInStone,net/minecraft/server/v1_12_R1/EntitySilverfish$PathfinderGoalSilverfishHideInBlock,,,
adh$b,net/minecraft/entity/monster/EntitySilverfish$AISummonSilverfish,net/minecraft/server/v1_12_R1/EntitySilverfish$PathfinderGoalSilverfishWakeOthers,,,
adh,net/minecraft/entity/monster/EntitySilverfish,net/minecraft/server/v1_12_R1/EntitySilverfish,,,
adi,net/minecraft/entity/monster/EntitySkeleton,net/minecraft/server/v1_12_R1/EntitySkeleton,,,
adj$a,net/minecraft/entity/monster/EntitySlime$AISlimeAttack,net/minecraft/server/v1_12_R1/EntitySlime$PathfinderGoalSlimeNearestPlayer,,,
adj$b,net/minecraft/entity/monster/EntitySlime$AISlimeFloat,net/minecraft/server/v1_12_R1/EntitySlime$PathfinderGoalSlimeRandomJump,,,
