owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
ewe$c,a,f_107824_,,sprite,spriteProvider,field_17873,field,private final SpriteSet
euz,a,f_106607_,,rotSpeed,rotationSpeed,field_3809,field,private final float
euz,b,f_106608_,,sprites,spriteProvider,field_17808,field,private final SpriteSet
evh$a,a,f_107052_,,sprites,spriteProvider,field_17817,field,private final SpriteSet
evs$a,a,f_107568_,,sprite,spriteProvider,field_17865,field,private final SpriteSet
evr$b,a,f_107526_,,sprites,spriteProvider,field_17864,field,private final SpriteSet
eus$u,a,f_106350_,,sprite,spriteProvider,field_22440,field,protected final SpriteSet
evr$a,a,f_107505_,,sprites,spriteProvider,field_17863,field,private final SpriteSet
eum$a,a,f_105751_,,sprite,spriteProvider,field_17786,field,private final SpriteSet
euw$b,a,f_106509_,,sprite,spriteProvider,field_17803,field,private final SpriteSet
evl$a,a,f_107183_,,sprite,spriteProvider,field_17819,field,private final SpriteSet
euw$a,a,f_106488_,,sprite,spriteProvider,field_17804,field,private final SpriteSet
euu$a,a,f_106439_,,sprites,spriteProvider,field_17802,field,private final SpriteSet
ewq,a,f_108405_,,sprites,spriteProvider,field_17888,field,private final SpriteSet
euo,a,f_105812_,,sprites,spriteProvider,field_17787,field,private final SpriteSet
ewe$e,a,f_107866_,,sprite,spriteProvider,field_17875,field,private final SpriteSet
ewp$a,a,f_172488_,,sprite,spriteProvider,field_28251,field,private final SpriteSet
ewf$a,a,f_107907_,,sprites,spriteProvider,field_17876,field,private final SpriteSet
ewp,a,f_234103_,,target,vibration,field_28249,field,private final PositionSource
ewp,b,f_172462_,,yRot,field_28250,field_28250,field,private float
ewp,F,f_172460_,,yRotO,field_28248,field_28248,field,private float
ewj$c,a,f_108061_,,sprite,spriteProvider,field_22239,field,private final SpriteSet
ewb,a,f_172290_,,sprites,spriteProvider,field_28003,field,private final SpriteSet
ewd$b,a,f_107737_,,sprite,spriteProvider,field_23092,field,private final SpriteSet
eus$x,a,f_106392_,,sprite,spriteProvider,field_18298,field,protected final SpriteSet
evx,a,f_233972_,,ROTATION_VECTOR,field_38334,field_38334,field,private static final Vector3f
evx,b,f_233973_,,TRANSFORM_VECTOR,field_38335,field_38335,field,private static final Vector3f
evx,F,f_233970_,,MAGICAL_X_ROT,field_38332,field_38332,field,private static final float
evx,G,f_233971_,,delay,field_38333,field_38333,field,private int
euq$c,a,f_105981_,,sprite,spriteProvider,field_18291,field,private final SpriteSet
eus$g,a,f_171979_,,sprite,spriteProvider,field_28073,field,protected final SpriteSet
evb$b,a,f_172111_,,sprite,spriteProvider,field_27736,field,private final SpriteSet
ewe,a,f_107758_,,RANDOM,RANDOM,field_3888,field,private static final RandomSource
ewe,b,f_107759_,,sprites,spriteProvider,field_17870,field,private final SpriteSet
eup$b,a,f_105897_,,sprites,spriteProvider,field_17789,field,private final SpriteSet
euw,a,f_106461_,,xStart,startX,field_3795,field,private final double
euw,b,f_106462_,,yStart,startY,field_3794,field,private final double
euw,F,f_106460_,,zStart,startZ,field_3793,field,private final double
ewt,a,f_172509_,,COLOR_RGB24,field_32658,field_32658,field,private static final int
evm,a,f_107206_,,INITIAL_AABB,EMPTY_BOUNDING_BOX,field_3860,field,private static final AABB
evm,b,f_197408_,,MAXIMUM_COLLISION_VELOCITY_SQUARED,MAX_SQUARED_COLLISION_CHECK_DISTANCE,field_36193,field,private static final double
evm,c,f_107208_,,level,world,field_3851,field,protected final ClientLevel
evm,d,f_107209_,,xo,prevPosX,field_3858,field,protected double
evm,e,f_107210_,,yo,prevPosY,field_3838,field,protected double
evm,f,f_107211_,,zo,prevPosZ,field_3856,field,protected double
evm,g,f_107212_,,x,x,field_3874,field,protected double
evm,h,f_107213_,,y,y,field_3854,field,protected double
evm,i,f_107214_,,z,z,field_3871,field,protected double
evm,j,f_107215_,,xd,velocityX,field_3852,field,protected double
evm,k,f_107216_,,yd,velocityY,field_3869,field,protected double
evm,l,f_107217_,,zd,velocityZ,field_3850,field,protected double
evm,D,f_107207_,,bb,boundingBox,field_3872,field,private AABB
evm,m,f_107218_,,onGround,onGround,field_3845,field,protected boolean
